Date,Close,High,Low,Open,Volume
2010-03-01,759.9417114257812,767.541128540039,729.54404296875,729.54404296875,244642500
2010-03-08,775.1405639648438,805.5382331399356,759.9417293772977,767.5411466710707,318247500
2010-03-15,828.3366088867188,881.5325378977924,775.1406798756451,790.3395167359519,421107500
2010-03-22,873.9329833984375,889.1318178923233,820.7370626698369,828.3364799167798,199570000
2010-03-29,828.3366088867188,873.933119467639,820.7371904565654,851.1348641771789,182422500
2010-04-05,843.5352783203125,942.3276983037725,843.5352783203125,851.1346952421171,273652500
2010-04-12,873.9329833984375,896.7312351392662,843.5353144106657,843.5353144106657,125532500
2010-04-19,866.3333740234375,896.7310362698739,843.5351273386102,858.7339584618284,245712500
2010-04-26,828.3366088867188,873.933119467639,820.7371904565654,866.3337010374856,577000000
2010-05-03,748.5425415039062,843.5352498165847,733.3437081738778,835.9358331515705,642642500
2010-05-10,797.93896484375,805.5383835565476,759.9418712797619,759.9418712797619,458527500
2010-05-17,775.1405639648438,843.5353196088005,756.1420207304112,813.1376504337086,494797500
2010-05-24,805.538330078125,813.1377482864092,752.3424026201355,782.7400754532723,350770000
2010-05-31,858.734130859375,858.734130859375,805.5382112486172,843.5352966848727,443272500
2010-06-07,838.91748046875,869.7034430547591,808.1315178827408,846.6139711152522,136617500
2010-06-14,877.399658203125,892.7926346628288,838.9172170538651,838.9172170538651,371722500
2010-06-21,885.0964965820312,915.8824616805367,869.7035140327786,892.7929878566576,235500000
2010-06-28,862.0068359375,923.5787527901786,854.3103463309151,892.7927943638392,179115000
2010-07-05,900.4893798828125,915.8823607355101,846.6139468983707,862.0069277510684,157587500
2010-07-12,931.275390625,931.275390625,892.7929364669421,908.1859181301652,153962500
2010-07-19,923.5787353515625,931.2752248128255,892.7927775065104,915.8822458902995,167710000
2010-07-26,915.88232421875,969.7577550551471,915.88232421875,915.88232421875,207990000
2010-08-02,923.5787353515625,931.2752248128255,869.7033091227214,915.8822458902995,278180000
